"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2024006788","","0","0","0","0","0","0","0","0","0","4","0","","14","1","2024","4","40.890446","-77.73349","","2","0","0","0","0","0","0","1","0","","0","0","0","","","0","N","0","","40 53:25.607","","0","77 44:00.563","0","0","0","0","14221","0","0","0","N","0","0","0","2","68G07","0","","1.0","","2","N","N","N","1","","0","0","1","","0","","","2","0","0","0","0","0","0","1","0","2","03","03","","N","","","","","","","","","",""
"2024000571","","0","0","0","0","0","0","0","0","0","7","0","","14","1","2024","2","40.791761","-78.232826","","2","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","40 47:30.338","5","0","78 13:58.173","0","0","0","0","14219","0","0","0","N","0","0","0","1","68G07","0","","4.0","300.0","9","N","N","N","1","","0","0","0","","0","Y","","1","0","0","0","0","0","0","1","0","1","02","","","N","","","","","","","","","",""
"2024007117","","0","0","0","0","0","0","0","0","0","7","1","","14","1","2024","3","41.002055","-77.984483","","2","0","0","0","0","0","0","0","0","","0","1","0","","","0","N","0","","41 00:07.397","4","0","77 59:04.137","0","0","0","0","14220","0","0","0","N","0","0","0","1","68G07","0","","5.0","1400.0","7","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","1","0","1","02","","","N","","","","","","","","","",""
"2024002555","","0","0","0","0","0","0","0","0","0","1","0","","14","1","2024","7","41.010718","-77.592114","","2","0","0","0","1","0","0","0","0","","0","0","0","","","0","N","0","","41 00:38.586","","0","77 35:31.612","0","0","0","0","14214","0","0","0","N","0","0","0","2","68G07","0","","1.0","","7","N","N","N","0","","0","0","2","","0","","","2","0","0","0","0","0","0","1","0","2","10","","","N","","","","","","","","","",""
"2024004458","","0","0","0","0","0","0","0","0","0","7","1","","14","1","2024","3","40.881336","-77.755587","","2","0","0","0","0","0","0","0","0","","0","1","0","","","0","N","0","","40 52:52.810","1","0","77 45:20.112","0","0","0","0","14221","0","0","0","Y","0","0","0","1","68G07","0","","2.0","844.0","6","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","1","0","1","02","","","N","","","","","","","","","",""
"2024006735","","0","0","0","0","0","0","0","0","0","4","0","","14","1","2024","2","40.968372","-77.601653","","2","0","0","0","0","0","0","0","0","","0","0","0","","","2","N","0","","40 58:06.139","6","0","77 36:05.949","3","0","0","0","14224","0","0","0","N","0","0","0","2","68G07","0","","1.0","230.0","1","N","N","N","2","","2","0","0","","0","Y","","2","2","0","0","0","0","0","1","0","2","03","03","","N","","","","","","","","","",""
"2024003141","","0","0","0","0","0","0","0","0","0","6","1","","14","1","2024","6","40.780022","-77.745719","","2","0","0","0","0","0","1","0","0","","0","1","0","","","0","N","0","","40 46:48.080","","0","77 44:44.590","0","0","0","0","14210","0","0","0","N","0","0","0","2","68G07","0","","1.0","","1","N","N","N","1","","0","0","0","","0","","","2","0","0","0","0","0","0","1","0","2","03","","","N","","","","","","","","","",""
"2024001910","1334","0","0","0","0","0","0","0","0","0","2","0","","14","1","2024","5","40.800454","-78.001898","1328","2","0","0","0","0","0","1","1","0","","0","0","0","","","1","N","0","","40 48:01.633","2","0","78 00:06.833","3","0","0","0","14209","0","0","0","N","0","0","0","3","68G07","0","","1.0","1424.0","1","N","N","N","0","","1","0","2","","0","Y","","2","1","0","0","0","0","0","1","0","2","03","03","","N","","","","","","","","","",""
"2024007856","1440","0","0","0","0","0","0","0","0","0","7","0","","14","1","2024","6","40.783254","-78.240493","1416","2","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","40 46:59.716","2","0","78 14:25.776","0","0","0","0","14219","0","0","0","N","0","0","0","1","68G07","0","","2.0","1530.0","7","N","N","N","0","","0","0","1","","0","N","","1","0","0","0","0","0","0","1","0","1","10","","","N","","","","","","","","","",""
"2024010517","0606","0","0","0","0","0","0","0","0","0","98","0","","14","1","2024","5","40.804873","-77.71784","0558","2","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","40 48:17.542","3","0","77 43:04.224","0","0","0","0","14218","0","0","0","N","0","0","0","1","68G07","0","","1.0","720.0","9","N","N","N","0","","0","0","1","","0","N","","1","0","0","0","0","0","0","1","0","1","07","05","","N","","","","","","","","","",""
