"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2023049160","1600","1","0","0","0","0","0","0","0","0","7","0","","14","5","2023","4","40.853721","-77.768166","1554","2","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 51:13.394","4","0","77 46:05.398","0","0","0","0","14201","0","0","0","N","0","0","0","1","68G07","0","","4.0","1630.0","1","Y","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2023050023","1042","0","0","0","0","0","0","0","0","0","5","1","","14","6","2023","3","40.823243","-77.846462","1037","2","0","0","0","0","0","0","1","0","","0","1","0","","","0","","6","","40 49:23.673","","2","77 50:47.264","0","0","0","0","14204","0","0","0","N","0","0","0","2","14410","0","","1.0","","1","N","N","N","0","","0","0","1","","4","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023077541","1835","1","0","0","0","0","0","0","0","0","4","0","","14","9","2023","6","40.796749","-77.872483","1827","2","0","1","1","0","1","0","0","0","","0","0","0","","","0","","1","","40 47:48.298","","0","77 52:20.938","0","0","0","0","14410","0","0","0","N","0","0","0","8","14410","0","","1.0","","1","N","N","N","0","","0","0","1","","2","","","3","0","0","0","0","0","0","2","1","3","","03","","N","","","","","","","","","",""
"2023077754","2217","1","0","0","0","0","0","0","0","0","4","0","","14","9","2023","6","40.791183","-77.856278","2214","2","0","1","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 47:28.259","2","0","77 51:22.602","9","0","0","0","14410","0","0","0","N","0","0","0","9","14410","0","","1.0","2240.0","1","N","N","N","0","","0","0","1","","3","N","","2","0","1","0","0","0","2","2","0","2","","","","N","","","","","","","","","",""
"2023078578","2315","1","0","0","0","0","0","0","0","0","4","0","","14","8","2023","5","40.796139","-77.8535","2315","2","0","0","0","0","1","0","0","0","","0","0","0","","","1","N","0","","40 47:46.100","","0","77 51:12.600","3","0","0","1","14410","0","0","0","N","0","0","0","1","14410","0","","4.0","","1","N","N","N","0","","1","0","0","","0","","","2","1","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2023079611","0646","1","0","0","0","0","0","0","0","0","4","0","","14","9","2023","5","40.876849","-77.631394","0636","2","0","0","0","0","0","1","1","0","","0","0","0","","","0","","2","","40 52:36.658","","0","77 37:53.019","0","0","0","0","14207","0","0","0","N","0","0","0","2","68G07","0","","1.0","","1","N","N","N","0","","0","0","1","","3","","","2","0","0","0","0","0","0","1","0","2","","03","","N","","","","","","","","","",""
"2023079616","1427","1","0","0","0","0","0","0","0","0","7","0","","14","9","2023","5","40.997057","-77.856231","1411","2","0","0","0","0","1","0","0","0","","0","0","0","","","0","N","0","","40 59:49.404","","0","77 51:22.433","0","0","0","0","14202","0","0","0","N","0","0","0","1","68G07","0","","4.0","","9","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2023066769","1603","0","0","0","0","0","0","0","0","0","7","0","","14","7","2023","5","40.891506","-77.472214","1543","2","0","0","0","0","0","0","1","0","","0","0","0","","","0","N","0","","40 53:29.420","4","0","77 28:19.969","0","0","0","0","14405","0","0","0","N","0","0","0","1","68G07","0","","4.0","1643.0","1","N","N","N","1","","0","0","0","","0","N","","1","0","0","0","0","0","0","1","0","1","","03","","N","","","","","","","","","",""
"2023078782","1642","0","0","0","0","0","0","0","0","0","1","0","","14","9","2023","4","40.800457","-77.849549","1640","2","1","0","0","0","0","0","0","0","","0","0","0","","","2","","2","","40 48:01.646","1","0","77 50:58.375","8","0","0","0","14410","0","0","0","N","0","0","0","3","14410","0","","1.0","1710.0","1","N","N","N","0","","0","0","2","","0","N","","2","2","0","0","0","2","0","2","0","2","","03","","N","","","","","","","","","",""
"2023066102","1437","0","0","0","0","0","0","0","0","0","4","0","","14","7","2023","7","40.896408","-78.220695","1407","2","0","1","0","0","0","0","0","0","","0","0","0","","","1","","1","","40 53:47.070","","0","78 13:14.502","4","0","0","0","14406","0","0","0","N","0","0","0","3","68G07","1","","1.0","","1","N","N","N","0","","0","0","1","","2","","","2","1","0","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
